10000000 100000
1293390 4462322 75755
3326854 8612341 74742
2780430 7322715 35047
4969290 7138148 73651
324667 6742239 27220
5317704 5515301 33986
161704 3976192 35702
6633824 8675452 2217
1708364 7633411 71327
6497299 9119828 17059
413217 5330536 95732
2206291 9025557 38937
1805986 2297385 61651
1460485 3932432 47293
719076 2322435 88311
549656 6036779 3612
2529322 2699994 81667
1204773 7835696 31842
2913136 6554265 65252
3341945 9410434 85079
4740969 8275356 14647
7671088 9463611 56556
1760996 5426378 78893
7988029 8209779 39378
532214 551674 74805
3598221 5956338 11583
6876302 8814566 40904
6650262 7957969 62028
5720878 8189811 75163
8571415 9062822 1949
7338177 8072846 59269
503845 7525617 22880
1960401 2951994 227
3456374 7739295 26357
6524400 7495025 74922
2480737 7969830 89494
6997765 9357038 4060
7315006 8555021 54321
1317049 8021168 75198
6992212 9108934 54372
7110513 7181779 92548
1969783 7685623 34516
2162376 6292663 86509
7409242 9901670 59235
6735599 9913046 83634
1626874 7882875 64370
116368 7396991 21407
5952011 7420428 52764
3891101 7269059 73931
6082652 6777622 99216
3888135 7337024 80994
8374269 8445924 82968
7080441 7183283 61695
1183302 4592524 63364
1258889 3844474 76409
5342523 5471347 75635
1906893 5587715 88977
344652 5524494 40987
6097416 9415595 26397
2387699 5498246 4019
5351621 7786915 8505
2884261 3797544 82773
3394336 8183582 66055
5645277 7093990 74930
5524994 8352878 19403
5317755 6211753 90750
2993391 8118645 94816
582368 979649 19309
6639708 9593416 34903
1981115 9966105 49500
2284381 2586476 1120
5168642 9094981 15016
3352223 6494106 25703
1513851 8560161 36044
7038844 7735091 5274
2356599 3270847 17026
1761597 7866341 52022
965060 8356413 31670
475722 7604767 25086
87224 4526978 22552
2673699 4076478 6932
1493951 4285032 91925
779137 5225319 60499
1855650 2351022 74350
1603419 9590740 13193
2861586 9208693 86143
3025719 7139534 68835
7477741 8012298 33895
5425764 8488020 55013
2967202 5531349 42236
2489754 9607826 32287
3618128 4296686 17318
3788612 8843446 96454
3710820 9149111 52103
5314238 8539813 59195
4969359 7039282 37132
2581352 3755502 93018
2575444 2924338 5315
5574585 8001207 93334
968408 5829598 24682
3458161 8688187 48860
271199 6736826 83339
6554144 6576162 26785
5725272 9666950 53956
4265085 4635406 84545
1710953 9234443 23826
1648085 5506296 5177
946985 3757455 80620
1362771 6521569 98179
4867519 9972457 66586
4113492 6072057 41099
2808882 7862352 12297
1879377 7745691 88458
4062678 8988828 30081
3942784 8698083 11517
2925387 6727329 62311
7089824 9067507 84959
847278 1472684 31943
2210048 8969657 69864
2182505 4467836 37382
3450774 6295996 25790
5891873 6674699 51023
1120522 6936741 46751
2925332 5925569 9428
2384704 2971766 23863
9112033 9799635 49249
5861947 8179539 55424
2168575 9946906 2702
1138231 7495201 12749
1565065 8122418 11605
1573191 3018799 23952
544589 9981416 98650
1101937 5911964 35391
3158715 6543621 60959
6984496 9515386 45662
9315020 9508359 74046
7473960 7693318 69937
156575 2529385 38511
948439 7651776 93093
1733192 9061188 15510
4389146 4751991 5052
6013098 7812931 86467
4311749 6241247 4756
2063492 9399961 48376
5740803 6384456 80113
1802817 8409166 11484
6976864 8399478 4802
928862 5363153 77728
4393652 5918016 45855
5971191 7611109 79047
360336 9942971 47389
3848023 6373434 76671
250843 3201534 17917
7755599 7781377 34230
3522179 4320327 35037
400440 5324995 44203
828276 4818210 43680
181362 8949430 88893
6099377 7227159 98896
5673014 6226837 70086
5852061 6169807 30422
2534182 5815802 20207
2785024 3592474 38092
3056974 7610391 19468
3544621 7377300 41646
294091 8379659 82992
1122366 4140214 1202
71796 8300246 82563
5905491 9815306 81940
7904387 8004671 8776
3856732 5874473 94935
2188885 4204895 45468
3941454 5781358 30491
5908101 6879546 3816
7599014 9452721 81115
348731 4357012 91557
6440005 7005296 30274
3341207 5305541 18421
1211031 2940122 33726
1631769 6122062 38397
7506242 8047191 11480
4227488 8658478 364
1803946 8168942 98074
250789 7564839 6174
1754605 5163853 75246
3152072 9520864 23977
4843629 8477220 29272
173903 1818426 51165
608677 4758548 78547
3396961 8342403 10316
3960503 6597152 32909
2618980 8708632 76748
5525349 6939277 45689
7190065 8123423 26880
6629597 8944669 90732
4613092 7104843 27947
445172 1973072 5167
790797 2146975 39944
